measurementID,eventID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementMethod,measurementRemarks
NP09R1_20181220_S16,NP09R1_20181220,soil pH value,8.1,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R1_20181220_S18,NP09R1_20181220,EEZ soil pH value,8.1,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R1_20181220_S17,NP09R1_20181220,pH value,7.54,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP09R2_20181220_S03,NP09R2_20181220,soil moisture,10.710598761183876,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP09R2_20181220_S04,NP09R2_20181220,ammonium,1.375,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP09R2_20181220_S05,NP09R2_20181220,nitrate content,0.667,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP09R2_20181220_S06,NP09R2_20181220,iron,1.904,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP09R2_20181220_S07,NP09R2_20181220,potassium,0.49,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP09R2_20181220_S08,NP09R2_20181220,magnesium,3.809,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP09R2_20181220_S09,NP09R2_20181220,sodium,0.056,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP09R2_20181220_S10,NP09R2_20181220,nitrogen,0.074545,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP09R2_20181220_S11,NP09R2_20181220,carbon,8.65,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP09R2_20181220_S12,NP09R2_20181220,carbon to nitrogen ratio,116.03729291032263,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP09R2_20181220_S13,NP09R2_20181220,cation exchange capacity,15,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP09R2_20181220_S15,NP09R2_20181220,oxidizable organic matter,1.59,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP09R2_20181220_S16,NP09R2_20181220,soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R2_20181220_S18,NP09R2_20181220,EEZ soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R2_20181220_S17,NP09R2_20181220,pH value,7.49,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP09R3_20181220_S03,NP09R3_20181220,soil moisture,18.063513644750895,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP09R3_20181220_S04,NP09R3_20181220,ammonium,5.402,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP09R3_20181220_S05,NP09R3_20181220,nitrate content,2.657,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP09R3_20181220_S06,NP09R3_20181220,iron,2.06,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP09R3_20181220_S07,NP09R3_20181220,potassium,0.638,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP09R3_20181220_S08,NP09R3_20181220,magnesium,0.939,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP09R3_20181220_S09,NP09R3_20181220,sodium,0.063,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP09R3_20181220_S10,NP09R3_20181220,nitrogen,0.634455,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP09R3_20181220_S11,NP09R3_20181220,carbon,9.195,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP09R3_20181220_S12,NP09R3_20181220,carbon to nitrogen ratio,14.492753623188406,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP09R3_20181220_S13,NP09R3_20181220,cation exchange capacity,19,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP09R3_20181220_S15,NP09R3_20181220,oxidizable organic matter,10.88,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP09R3_20181220_S16,NP09R3_20181220,soil pH value,7.67,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R3_20181220_S18,NP09R3_20181220,EEZ soil pH value,7.67,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R3_20181220_S17,NP09R3_20181220,pH value,7.34,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP09R4_20181220_S03,NP09R4_20181220,soil moisture,10.552547907536248,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP09R4_20181220_S04,NP09R4_20181220,ammonium,13.542,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP09R4_20181220_S05,NP09R4_20181220,nitrate content,0.482,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP09R4_20181220_S06,NP09R4_20181220,iron,1.875,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP09R4_20181220_S07,NP09R4_20181220,potassium,0.748,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP09R4_20181220_S08,NP09R4_20181220,magnesium,1.835,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP09R4_20181220_S09,NP09R4_20181220,sodium,0.088,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP09R4_20181220_S10,NP09R4_20181220,nitrogen,0.27104,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP09R4_20181220_S11,NP09R4_20181220,carbon,7.4,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP09R4_20181220_S12,NP09R4_20181220,carbon to nitrogen ratio,27.302243211334122,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP09R4_20181220_S13,NP09R4_20181220,cation exchange capacity,16,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP09R4_20181220_S15,NP09R4_20181220,oxidizable organic matter,4.66,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP09R4_20181220_S16,NP09R4_20181220,soil pH value,7.98,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R4_20181220_S18,NP09R4_20181220,EEZ soil pH value,7.98,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09R4_20181220_S17,NP09R4_20181220,pH value,7.61,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP09E1_20181220_S03,NP09E1_20181220,soil moisture,12.778810408922158,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP09E1_20181220_S04,NP09E1_20181220,ammonium,5.715,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP09E1_20181220_S05,NP09E1_20181220,nitrate content,0.315,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP09E1_20181220_S06,NP09E1_20181220,iron,1.769,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP09E1_20181220_S07,NP09E1_20181220,potassium,0.475,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP09E1_20181220_S08,NP09E1_20181220,magnesium,0.898,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP09E1_20181220_S09,NP09E1_20181220,sodium,0.042,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP09E1_20181220_S10,NP09E1_20181220,nitrogen,0.25306,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP09E1_20181220_S11,NP09E1_20181220,carbon,7.69,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP09E1_20181220_S12,NP09E1_20181220,carbon to nitrogen ratio,30.388050264759347,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP09E1_20181220_S13,NP09E1_20181220,cation exchange capacity,15,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP09E1_20181220_S15,NP09E1_20181220,oxidizable organic matter,4.61,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP09E1_20181220_S16,NP09E1_20181220,soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09E1_20181220_S18,NP09E1_20181220,EEZ soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09E1_20181220_S17,NP09E1_20181220,pH value,7.61,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP09E2_20181220_S03,NP09E2_20181220,soil moisture,12.916993293267087,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP09E2_20181220_S04,NP09E2_20181220,ammonium,6.891,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP09E2_20181220_S05,NP09E2_20181220,nitrate content,0.272,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP09E2_20181220_S06,NP09E2_20181220,iron,1.846,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP09E2_20181220_S07,NP09E2_20181220,potassium,0.548,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP09E2_20181220_S08,NP09E2_20181220,magnesium,1.158,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP09E2_20181220_S09,NP09E2_20181220,sodium,0.055,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP09E2_20181220_S10,NP09E2_20181220,nitrogen,0.2445,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP09E2_20181220_S11,NP09E2_20181220,carbon,7.57,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP09E2_20181220_S12,NP09E2_20181220,carbon to nitrogen ratio,30.96114519427403,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP09E2_20181220_S13,NP09E2_20181220,cation exchange capacity,14,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP09E2_20181220_S15,NP09E2_20181220,oxidizable organic matter,4.17,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP09E2_20181220_S16,NP09E2_20181220,soil pH value,7.9,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09E2_20181220_S18,NP09E2_20181220,EEZ soil pH value,7.9,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP09E2_20181220_S17,NP09E2_20181220,pH value,7.54,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13R1_20181220_S03,NP13R1_20181220,soil moisture,11.592128801430945,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13R1_20181220_S04,NP13R1_20181220,ammonium,0.798,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13R1_20181220_S05,NP13R1_20181220,nitrate content,0.787,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13R1_20181220_S06,NP13R1_20181220,iron,1.986,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13R1_20181220_S07,NP13R1_20181220,potassium,0.853,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13R1_20181220_S08,NP13R1_20181220,magnesium,2.447,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13R1_20181220_S09,NP13R1_20181220,sodium,0.094,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13R1_20181220_S10,NP13R1_20181220,nitrogen,0.20402,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13R1_20181220_S11,NP13R1_20181220,carbon,5.385,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13R1_20181220_S12,NP13R1_20181220,carbon to nitrogen ratio,26.394471130281342,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13R1_20181220_S13,NP13R1_20181220,cation exchange capacity,12,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13R1_20181220_S15,NP13R1_20181220,oxidizable organic matter,5.69,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13R1_20181220_S16,NP13R1_20181220,soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R1_20181220_S18,NP13R1_20181220,EEZ soil pH value,7.88,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R1_20181220_S17,NP13R1_20181220,pH value,7.44,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13R2_20181220_S03,NP13R2_20181220,soil moisture,9.957492990865546,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13R2_20181220_S04,NP13R2_20181220,ammonium,2.834,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13R2_20181220_S05,NP13R2_20181220,nitrate content,0.366,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13R2_20181220_S06,NP13R2_20181220,iron,2.241,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13R2_20181220_S07,NP13R2_20181220,potassium,0.699,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13R2_20181220_S08,NP13R2_20181220,magnesium,2.448,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13R2_20181220_S09,NP13R2_20181220,sodium,0.106,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13R2_20181220_S10,NP13R2_20181220,nitrogen,0.183835,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13R2_20181220_S11,NP13R2_20181220,carbon,4.52,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13R2_20181220_S12,NP13R2_20181220,carbon to nitrogen ratio,24.58726575461691,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13R2_20181220_S13,NP13R2_20181220,cation exchange capacity,17,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13R2_20181220_S15,NP13R2_20181220,oxidizable organic matter,7.53,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13R2_20181220_S16,NP13R2_20181220,soil pH value,7.94,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R2_20181220_S18,NP13R2_20181220,EEZ soil pH value,7.94,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R2_20181220_S17,NP13R2_20181220,pH value,7.44,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13R3_20181220_S03,NP13R3_20181220,soil moisture,9.379699248120144,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13R3_20181220_S04,NP13R3_20181220,ammonium,13.404,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13R3_20181220_S05,NP13R3_20181220,nitrate content,1.498,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13R3_20181220_S06,NP13R3_20181220,iron,1.951,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13R3_20181220_S07,NP13R3_20181220,potassium,0.801,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13R3_20181220_S08,NP13R3_20181220,magnesium,3.35,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13R3_20181220_S09,NP13R3_20181220,sodium,0.05,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13R3_20181220_S10,NP13R3_20181220,nitrogen,0.32839,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13R3_20181220_S11,NP13R3_20181220,carbon,6.71,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13R3_20181220_S12,NP13R3_20181220,carbon to nitrogen ratio,20.433021711988793,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13R3_20181220_S13,NP13R3_20181220,cation exchange capacity,15,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13R3_20181220_S15,NP13R3_20181220,oxidizable organic matter,8.84,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13R3_20181220_S16,NP13R3_20181220,soil pH value,8.18,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R3_20181220_S18,NP13R3_20181220,EEZ soil pH value,8.18,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R3_20181220_S17,NP13R3_20181220,pH value,7.87,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13R4_20181220_S03,NP13R4_20181220,soil moisture,14.230807135113787,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13R4_20181220_S04,NP13R4_20181220,ammonium,3.079,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13R4_20181220_S05,NP13R4_20181220,nitrate content,0.776,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13R4_20181220_S06,NP13R4_20181220,iron,1.621,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13R4_20181220_S07,NP13R4_20181220,potassium,0.291,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13R4_20181220_S08,NP13R4_20181220,magnesium,4.222,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13R4_20181220_S09,NP13R4_20181220,sodium,0.03,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13R4_20181220_S10,NP13R4_20181220,nitrogen,0.5461,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13R4_20181220_S11,NP13R4_20181220,carbon,12.5,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13R4_20181220_S12,NP13R4_20181220,carbon to nitrogen ratio,22.889580662882256,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13R4_20181220_S13,NP13R4_20181220,cation exchange capacity,14,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13R4_20181220_S15,NP13R4_20181220,oxidizable organic matter,12.91,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13R4_20181220_S16,NP13R4_20181220,soil pH value,7.95,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R4_20181220_S18,NP13R4_20181220,EEZ soil pH value,7.95,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13R4_20181220_S17,NP13R4_20181220,pH value,7.57,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13E1_20181220_S03,NP13E1_20181220,soil moisture,2.961538461538593,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13E1_20181220_S04,NP13E1_20181220,ammonium,3.407,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13E1_20181220_S05,NP13E1_20181220,nitrate content,0.269,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13E1_20181220_S06,NP13E1_20181220,iron,2.061,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13E1_20181220_S07,NP13E1_20181220,potassium,0.639,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13E1_20181220_S08,NP13E1_20181220,magnesium,2.369,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13E1_20181220_S09,NP13E1_20181220,sodium,0.022,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13E1_20181220_S10,NP13E1_20181220,nitrogen,0.25528,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13E1_20181220_S11,NP13E1_20181220,carbon,6.725,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13E1_20181220_S12,NP13E1_20181220,carbon to nitrogen ratio,26.34362268881228,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13E1_20181220_S13,NP13E1_20181220,cation exchange capacity,16,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13E1_20181220_S15,NP13E1_20181220,oxidizable organic matter,6.41,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13E1_20181220_S16,NP13E1_20181220,soil pH value,7.96,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13E1_20181220_S18,NP13E1_20181220,EEZ soil pH value,7.96,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13E1_20181220_S17,NP13E1_20181220,pH value,7.69,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
NP13E2_20181220_S03,NP13E2_20181220,soil moisture,12.219750128358708,percentage,20181220,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
NP13E2_20181220_S04,NP13E2_20181220,ammonium,8.908,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/20836
NP13E2_20181220_S05,NP13E2_20181220,nitrate content,0.957,percentage,20181220,Analysis of 2M KCl extracts by Bruan-Luebbe AA3 continuous flow autoanalyzer,https://vocabs.lter-europe.net/envthes/en/page/30146
NP13E2_20181220_S06,NP13E2_20181220,iron,2.041,?,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20827
NP13E2_20181220_S07,NP13E2_20181220,potassium,0.568,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20864
NP13E2_20181220_S08,NP13E2_20181220,magnesium,2.365,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20829
NP13E2_20181220_S09,NP13E2_20181220,sodium,0.031,percentage,20181220,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20867
NP13E2_20181220_S10,NP13E2_20181220,nitrogen,0.632725,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20832
NP13E2_20181220_S11,NP13E2_20181220,carbon,10.13,percentage,20181220,Dumas method,https://vocabs.lter-europe.net/envthes/en/page/20805
NP13E2_20181220_S12,NP13E2_20181220,carbon to nitrogen ratio,16.010114978861278,ratio,20181220,Calculated from pre-found variables (C/N),https://vocabs.lter-europe.net/envthes/en/page/21933
NP13E2_20181220_S13,NP13E2_20181220,cation exchange capacity,18,cmol(+)kg-1,20181220,Sodium acetate,https://vocabs.lter-europe.net/envthes/en/page/22084
NP13E2_20181220_S15,NP13E2_20181220,oxidizable organic matter,9.7,percentage,20181220,Redox titration (PNT-FQ-613),https://vocabs.lter-europe.net/envthes/en/page/20887
NP13E2_20181220_S16,NP13E2_20181220,soil pH value,7.84,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13E2_20181220_S18,NP13E2_20181220,EEZ soil pH value,7.84,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/22264
NP13E2_20181220_S17,NP13E2_20181220,pH value,7.47,pH units,20181220,Potentiometry,https://vocabs.lter-europe.net/envthes/en/page/21459
PR15R1_20190424_S01,PR15R1_20190424,total phosphorus,0.03876760559082031,percentage,20190424,ICP-optical,https://vocabs.lter-europe.net/envthes/en/page/20863
PR15R1_20190424_S14,PR15R1_20190424,phosphorus available,0.03876760559082031,(P2O5) mg kg -1,20190424,NaHCO3,https://vocabs.lter-europe.net/envthes/en/page/20854
PR15R1_20190424_S02,PR15R1_20190424,calcium,13.377084375,percentage,20190424,ICP-optical,http://vocabs.lter-europe.net/EnvThes/20804
PR15R1_20190424_S03,PR15R1_20190424,soil moisture,15.639183055975558,percentage,20190424,Gravimetry,https://vocabs.lter-europe.net/envthes/en/page/20745
